,CS textfield,BB textfield,Stack,Head angle,Head tube length textfield,Seat stay junction0,Seat tube length,Seat angle,DT Length,BB diameter,ttd,Head tube diameter,dtd,csd,ssd,Seat tube diameter,BB length,Chain stay position on BB,SSTopZOFFSET,MATERIAL,Head tube upper extension2,Seat tube extension2,Head tube lower extension2,SEATSTAYbrdgshift,CHAINSTAYbrdgshift,SEATSTAYbrdgdia1,CHAINSTAYbrdgdia1,SEATSTAYbrdgCheck,CHAINSTAYbrdgCheck,Dropout spacing,Wall thickness Bottom Bracket,Wall thickness Top tube,Wall thickness Head tube,Wall thickness Down tube,Wall thickness Chain stay,Wall thickness Seat stay,Wall thickness Seat tube
1,430.0,67.0,565.6,73.0,135.6,45.0,588.7,72.5,664.0206902489724,40.0,32.5,45.0,38.45,23.35,13.0,34.0,68.0,15.0,7.0,STEEL,40.0,28.7,50.0,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
2,350.0,-14.5,565.6,71.5,80.0,45.0,265.0,71.5,572.4919500516429,40.0,29.200000000000003,45.0,36.5,22.0,18.5,31.8,68.0,15.0,8.0,ALUMINIUM,23.3,39.1,23.1,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
3,415.0,4.0,565.6,72.0,198.8,45.0,562.0,74.0,647.1036536882136,38.1,28.6,36.4,34.0,18.75,11.5,28.6,68.0,14.0,25.0,STEEL,36.5,45.9,35.9,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
4,375.0,50.0,565.6,70.5,91.8,40.0,460.0,73.5,573.9040929925656,38.1,25.4,31.7,34.0,17.35,10.5,28.6,68.0,15.0,10.6,STEEL,29.1,19.0,33.9,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
5,431.79,24.0,565.6,72.1,83.1,41.0,300.0,72.5,636.1792967995458,40.0,29.200000000000003,50.0,36.5,22.0,16.0,31.8,68.0,15.0,8.0,STEEL,20.2,36.4,54.3,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
6,311.9,17.0,565.6,80.6,90.0,45.0,315.0,71.6,601.509396892262,40.0,29.200000000000003,45.0,36.5,27.0,18.5,31.8,68.0,125.0,8.0,OTHER,20.1,50.1,25.0,330.0,350.0,16.0,18.0,False,False,120.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
7,425.0,29.86302492792601,565.6,69.53483637778452,165.0,65.0,535.0,72.03483637778452,688.291607604739,37.5,30.200000000000003,40.0,43.45,25.0,18.5,35.0,100.0,15.0,11.2,ALUMINIUM,28.5,50.0,50.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
8,425.0,43.0,565.6,70.0,123.6,77.0,520.0,73.0,703.8693533105786,35.0,42.0,45.0,44.95,23.35,18.5,35.0,100.0,15.0,11.2,ALUMINIUM,27.0,62.0,70.0,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
9,450.0,73.5,565.6,73.0,150.0,40.0,524.4,74.0,660.7292642474715,38.1,28.6,31.8,34.0,17.35,10.5,28.6,68.0,15.0,10.6,STEEL,28.1,34.4,39.1,330.0,350.0,16.0,18.0,False,False,130.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
10,443.0,41.0,565.6,72.0,105.0,55.0,457.0,73.0,673.9015050364934,40.0,32.7,40.0,36.5,22.0,17.0,31.8,68.0,15.0,8.0,TITANIUM,25.9,74.2,68.1,330.0,350.0,16.0,18.0,False,False,135.0,2.0,0.9,1.1,0.9,1.2,1.0,0.9
